"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"2886";"http://almoune.fr/img/p/0.jpg";"Vida pop citron";"";"Accueil";"0.710900";"0.75";"-56";"1";
"2550";"http://almoune.fr/img/p/0.jpg";"feuille de vigne epsilon 2kg";"";"Accueil";"8.502370";"8.97";"-5";"1";
"2947";"http://almoune.fr/img/p/0.jpg";"Tofi LUK 396gr.";"";"Accueil";"2.834123";"2.99";"-6";"1";
"3003";"http://almoune.fr/img/p/0.jpg";"Ghee khanum 1kg";"";"Accueil";"17.535545";"18.5";"12";"1";
"1869";"http://almoune.fr/img/p/0.jpg";"Cruche grand 1000ml";"";"Accueil";"10.000000";"12";"5";"1";
"2094";"http://almoune.fr/img/p/0.jpg";"huile d'olive grignon tunisie 1L";"";"Accueil";"5.450237";"5.75";"-29";"1";
"1417";"http://almoune.fr/img/p/0.jpg";"Pépite de grain de tournessol Samire 300gr.";"";"Accueil";"1.421801";"1.5";"-1";"1";
"1700";"http://almoune.fr/img/p/0.jpg";"Baklava pistache 1.5kg";"";"Accueil";"32.227488";"34";"0";"1";
"788";"http://almoune.fr/img/p/0.jpg";"Pepite pasteque rohana";"";"Accueil";"1.658768";"1.75";"0";"1";
"2494";"http://almoune.fr/img/p/0.jpg";"gombo ";"";"Accueil";"1.658768";"1.75";"-21";"1";
"2889";"http://almoune.fr/img/p/0.jpg";"kaak chtoura fields";"";"Accueil";"2.834123";"2.99";"0";"1";
"1243";"http://almoune.fr/img/p/0.jpg";"Baklava Restaurant";"";"Accueil";"15.497630";"16.35";"13";"1";
"1188";"http://almoune.fr/img/p/0.jpg";"Olive Grec cassé au kg";"";"Accueil";"0.000000";"0";"0";"1";
"1812";"http://almoune.fr/img/p/0.jpg";"Pistaches fraîches du Liban - 250 gr.";"";"Apéritifs et pain";"4.739336";"5";"2";"1";
"992";"http://almoune.fr/img/p/0.jpg";"Redbull ";"";"Accueil";"1.232227";"1.3";"-2";"1";
"2321";"http://almoune.fr/img/p/0.jpg";"Infusion Cumin Citron 25 sachet 50gr";"";"Accueil";"1.886256";"1.99";"9";"1";
"2210";"http://almoune.fr/img/p/0.jpg";"Feta rona vrac";"";"Accueil";"4.123223";"4.35";"-312";"1";
"2669";"http://almoune.fr/img/p/0.jpg";"Bobine Carte Bleu x5";"";"Accueil";"4.166667";"5";"-10";"1";
